,queryid,productid,product_url,query_text,relevance
0,1,B008ER32W4,https://www.amazon.com/dp/B008ER32W4,"earphone,wireless,waterproof",0
1,1,B0043CUQU0,https://www.amazon.com/dp/B0043CUQU0,"earphone,wireless,waterproof",0
2,1,B004477D00,https://www.amazon.com/dp/B004477D00,"earphone,wireless,waterproof",0
3,1,B0034L3G8U,https://www.amazon.com/dp/B0034L3G8U,"earphone,wireless,waterproof",1
4,1,B00AMBIP22,https://www.amazon.com/dp/B00AMBIP22,"earphone,wireless,waterproof",0
5,1,B003060BGY,https://www.amazon.com/dp/B003060BGY,"earphone,wireless,waterproof",0
6,1,B004477D0A,https://www.amazon.com/dp/B004477D0A,"earphone,wireless,waterproof",0
7,1,B007PFS1JK,https://www.amazon.com/dp/B007PFS1JK,"earphone,wireless,waterproof",1
8,1,B000QUPUKY,https://www.amazon.com/dp/B000QUPUKY,"earphone,wireless,waterproof",0
9,1,B00CELMUCE,https://www.amazon.com/dp/B00CELMUCE,"earphone,wireless,waterproof",0
10,2,B00456V6WG,https://www.amazon.com/dp/B00456V6WG,"earphone,noise canceling,in ear",1
11,2,B0050G38L2,https://www.amazon.com/dp/B0050G38L2,"earphone,noise canceling,in ear",1
12,2,B0044TXDSE,https://www.amazon.com/dp/B0044TXDSE,"earphone,noise canceling,in ear",0
13,2,B000OMKR8E,https://www.amazon.com/dp/B000OMKR8E,"earphone,noise canceling,in ear",0
14,2,B0089V4ZGM,https://www.amazon.com/dp/B0089V4ZGM,"earphone,noise canceling,in ear",0
15,2,B0002QLQ96,https://www.amazon.com/dp/B0002QLQ96,"earphone,noise canceling,in ear",0
16,2,B0035MDZKM,https://www.amazon.com/dp/B0035MDZKM,"earphone,noise canceling,in ear",1
17,2,B003ELYQGG,https://www.amazon.com/dp/B003ELYQGG,"earphone,noise canceling,in ear",1
18,2,B004GF85AC,https://www.amazon.com/dp/B004GF85AC,"earphone,noise canceling,in ear",0
19,2,B003VW20AW,https://www.amazon.com/dp/B003VW20AW,"earphone,noise canceling,in ear",0
20,3,B002MAPRYU,https://www.amazon.com/dp/B002MAPRYU,"headphone,light,long playtime",0
21,3,B000BP8AY2,https://www.amazon.com/dp/B000BP8AY2,"headphone,light,long playtime",0
